algorithm,inputType,n,timeNs,maxDepth,metricName,metricValue
MergeSort,random,100,20700,4,comparisons,658
MergeSort,sorted,100,20500,4,comparisons,244
MergeSort,reverse-sorted,100,15800,4,comparisons,724
MergeSort,duplicate-heavy,100,29600,4,comparisons,491
QuickSort,random,100,21500,5,swaps,437
QuickSort,sorted,100,15500,6,swaps,428
QuickSort,reverse-sorted,100,14300,5,swaps,489
QuickSort,duplicate-heavy,100,23700,3,swaps,251
DeterministicSelect,random,100,82600,7,comparisons,813
DeterministicSelect,sorted,100,58700,7,comparisons,693
DeterministicSelect,reverse-sorted,100,84900,6,comparisons,808
DeterministicSelect,duplicate-heavy,100,32600,3,comparisons,404
MergeSort,random,1000,258200,7,comparisons,10215
MergeSort,sorted,1000,184200,7,comparisons,3956
MergeSort,reverse-sorted,1000,203800,7,comparisons,10300
MergeSort,duplicate-heavy,1000,596000,7,comparisons,9682
QuickSort,random,1000,273400,8,swaps,7595
QuickSort,sorted,1000,185800,8,swaps,6872
QuickSort,reverse-sorted,1000,204200,7,swaps,6647
QuickSort,duplicate-heavy,1000,406200,4,swaps,4626
DeterministicSelect,random,1000,194700,10,comparisons,9404
DeterministicSelect,sorted,1000,93400,9,comparisons,7008
DeterministicSelect,reverse-sorted,1000,120800,10,comparisons,9398
DeterministicSelect,duplicate-heavy,1000,56600,5,comparisons,3738
MergeSort,random,10000,10646900,11,comparisons,127127
MergeSort,sorted,10000,3376800,11,comparisons,59248
MergeSort,reverse-sorted,10000,3488100,11,comparisons,93648
MergeSort,duplicate-heavy,10000,6389500,11,comparisons,126692
QuickSort,random,10000,3369100,10,swaps,87687
QuickSort,sorted,10000,2091100,9,swaps,97731
QuickSort,reverse-sorted,10000,2180300,9,swaps,87039
QuickSort,duplicate-heavy,10000,11128900,6,swaps,57026
DeterministicSelect,random,10000,2277900,13,comparisons,97355
DeterministicSelect,sorted,10000,1280000,13,comparisons,72791
DeterministicSelect,reverse-sorted,10000,1620200,13,comparisons,100311
DeterministicSelect,duplicate-heavy,10000,1765200,10,comparisons,86399
MergeSort,random,100000,32196700,14,comparisons,1639363
MergeSort,sorted,100000,9534800,14,comparisons,744016
MergeSort,reverse-sorted,100000,19197400,14,comparisons,1208816
MergeSort,duplicate-heavy,100000,47916400,14,comparisons,1639667
QuickSort,random,100000,32450800,11,swaps,1238297
QuickSort,sorted,100000,16196400,11,swaps,1101742
QuickSort,reverse-sorted,100000,18985600,11,swaps,1111121
QuickSort,duplicate-heavy,100000,35622400,9,swaps,851401
DeterministicSelect,random,100000,27302100,17,comparisons,975748
DeterministicSelect,sorted,100000,6401400,16,comparisons,739709
DeterministicSelect,reverse-sorted,100000,8765800,17,comparisons,1022377
DeterministicSelect,duplicate-heavy,100000,62378200,13,comparisons,867966
ClosestPair,random,100,160000,7,comparisons,1301
ClosestPair,adversarial-vertical-line,100,819700,7,comparisons,1650
ClosestPair,random,500,1348100,9,comparisons,9482
ClosestPair,adversarial-vertical-line,500,7507800,9,comparisons,11985
ClosestPair,random,1000,4708800,10,comparisons,21387
ClosestPair,adversarial-vertical-line,1000,26776300,10,comparisons,26963
ClosestPair,random,2000,28028500,11,comparisons,47390
ClosestPair,adversarial-vertical-line,2000,71137800,11,comparisons,59889
ClosestPair,random,5000,52531900,12,comparisons,132348
ClosestPair,adversarial-vertical-line,5000,133760100,12,comparisons,168345
ClosestPair,random,50000,284538000,16,comparisons,1694874
ClosestPair,adversarial-vertical-line,50000,955420300,16,comparisons,2168051
